Short_Name,Iteration_Count_o,Iteration_Count_m
instance_0000000000,13.0,14.0
instance_0000000001,13.0,13.0
instance_0000000002,13.0,15.0
instance_0000000003,13.0,13.0
instance_0000000004,13.0,13.0
instance_0000000005,13.0,13.0
instance_0000000006,13.0,15.0
instance_0000000007,13.0,14.0
instance_0000000008,14.0,14.0
instance_0000000009,13.0,13.0
instance_0000000010,13.0,14.0
instance_0000000011,14.0,14.0
instance_0000000012,13.0,15.0
instance_0000000013,13.0,14.0
instance_0000000014,13.0,13.0
instance_0000000015,13.0,13.0
instance_0000000016,13.0,14.0
instance_0000000017,13.0,13.0
instance_0000000018,13.0,14.0
instance_0000000019,13.0,14.0
instance_0000000020,14.0,15.0
instance_0000000021,13.0,14.0
instance_0000000022,12.0,13.0
instance_0000000023,13.0,13.0
instance_0000000024,13.0,14.0
instance_0000000025,13.0,14.0
instance_0000000026,13.0,13.0
instance_0000000027,13.0,13.0
instance_0000000028,13.0,13.0
instance_0000000029,13.0,13.0
instance_0000000030,13.0,13.0
instance_0000000031,13.0,13.0
instance_0000000032,14.0,14.0
instance_0000000033,13.0,15.0
instance_0000000034,13.0,14.0
instance_0000000035,13.0,13.0
instance_0000000036,13.0,13.0
instance_0000000037,12.0,13.0
instance_0000000038,13.0,14.0
instance_0000000039,13.0,14.0
instance_0000000040,13.0,15.0
instance_0000000041,13.0,14.0
instance_0000000042,10.0,11.0
instance_0000000043,14.0,14.0
instance_0000000044,13.0,15.0
instance_0000000045,13.0,13.0
instance_0000000046,13.0,15.0
instance_0000000047,13.0,14.0
instance_0000000048,13.0,13.0
instance_0000000049,13.0,14.0
instance_0000000050,14.0,15.0
instance_0000000051,13.0,14.0
instance_0000000052,13.0,13.0
instance_0000000053,13.0,13.0
instance_0000000054,13.0,13.0
instance_0000000055,13.0,13.0
instance_0000000056,13.0,13.0
instance_0000000057,13.0,14.0
instance_0000000058,14.0,14.0
instance_0000000059,13.0,13.0
instance_0000000060,13.0,14.0
instance_0000000061,12.0,13.0
instance_0000000062,13.0,14.0
instance_0000000063,13.0,14.0
instance_0000000064,12.0,13.0
instance_0000000065,14.0,14.0
instance_0000000066,13.0,15.0
instance_0000000067,14.0,15.0
instance_0000000068,13.0,14.0
instance_0000000069,12.0,13.0
instance_0000000070,13.0,13.0
instance_0000000071,13.0,13.0
instance_0000000072,13.0,13.0
instance_0000000073,13.0,13.0
instance_0000000074,13.0,14.0
instance_0000000075,13.0,14.0
instance_0000000076,12.0,12.0
instance_0000000077,12.0,13.0
instance_0000000078,13.0,13.0
instance_0000000079,12.0,12.0
instance_0000000080,13.0,13.0
instance_0000000081,13.0,14.0
instance_0000000082,12.0,13.0
instance_0000000083,13.0,13.0
instance_0000000084,13.0,13.0
instance_0000000085,13.0,14.0
instance_0000000086,13.0,13.0
instance_0000000087,13.0,14.0
instance_0000000088,13.0,14.0
instance_0000000089,14.0,14.0
instance_0000000090,13.0,14.0
instance_0000000091,14.0,15.0
instance_0000000092,13.0,12.0
instance_0000000093,13.0,13.0
instance_0000000094,13.0,14.0
instance_0000000095,14.0,15.0
instance_0000000096,13.0,13.0
instance_0000000097,13.0,14.0
instance_0000000098,13.0,14.0
instance_0000000099,10.0,11.0
